,0,1
const,9.113562543689316,9.139126486897524
Brand,-0.00171263517843071,0.0009460943570921572
Model,-0.0002162636689907154,0.0006713473347396293
Engine_Size,0.14423098802124096,0.15149026784349517
Fuel_Type,-0.016493975399932803,-0.009969319113128
Transmission,-0.10213305860236752,-0.09323698051439919
Doors,-0.0033208183144777773,0.00395658662437153
Owner_Count,-0.0017726702349797436,0.0033394920789904274
Car_Age,-0.26675421977977865,-0.2594570524500883
Mileage_sqrt,-0.21797981670295655,-0.21068580473772144
